age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
59,retired,married,university.degree,no,no,yes,cellular,aug,wed,295,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
43,technician,single,professional.course,unknown,yes,no,cellular,jul,wed,574,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
53,unemployed,married,basic.6y,unknown,yes,no,cellular,jul,mon,131,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
57,technician,married,basic.9y,unknown,yes,yes,cellular,jul,thu,155,6,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
25,admin.,married,university.degree,no,yes,no,cellular,jul,thu,60,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
35,technician,married,professional.course,no,no,no,cellular,jul,thu,207,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
58,admin.,married,university.degree,no,yes,no,cellular,aug,wed,225,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
40,technician,married,high.school,no,no,no,cellular,aug,tue,370,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
40,blue-collar,divorced,basic.9y,unknown,no,no,cellular,jul,thu,160,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
48,technician,married,professional.course,no,no,no,telephone,jul,thu,77,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
55,blue-collar,married,illiterate,no,yes,no,cellular,jul,tue,92,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
53,admin.,single,unknown,unknown,yes,no,cellular,jul,tue,319,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
31,admin.,single,high.school,unknown,no,no,telephone,jul,fri,61,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
28,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,tue,67,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
41,admin.,divorced,high.school,no,no,no,cellular,jul,tue,126,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
44,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,wed,605,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
42,unknown,married,university.degree,no,no,yes,cellular,jul,wed,255,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
41,technician,married,university.degree,no,yes,yes,cellular,aug,mon,58,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
31,technician,single,professional.course,no,yes,no,cellular,aug,mon,106,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
58,retired,married,unknown,unknown,yes,no,telephone,jul,mon,121,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
36,self-employed,married,basic.4y,unknown,yes,no,cellular,aug,wed,175,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
37,admin.,single,high.school,no,yes,no,telephone,jul,tue,49,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
37,housemaid,single,professional.course,no,yes,no,cellular,jul,wed,60,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
35,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,85,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
31,services,single,university.degree,no,yes,no,cellular,jul,mon,68,9,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
30,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,189,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
54,management,married,university.degree,no,yes,yes,telephone,jul,tue,44,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
48,technician,married,university.degree,unknown,yes,no,cellular,aug,thu,409,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
53,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,249,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
47,services,divorced,basic.9y,unknown,no,no,cellular,jul,mon,678,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
29,admin.,single,high.school,unknown,yes,no,cellular,jul,fri,139,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
58,retired,married,high.school,no,yes,no,cellular,jul,wed,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
34,management,married,university.degree,no,no,no,cellular,jul,wed,85,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
39,admin.,single,university.degree,no,no,no,cellular,jul,tue,60,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
43,admin.,married,high.school,no,yes,no,cellular,jul,tue,197,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
35,technician,single,professional.course,no,yes,no,cellular,aug,wed,156,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,225,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
42,technician,married,university.degree,no,no,yes,cellular,jul,thu,65,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
57,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,659,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
32,admin.,single,university.degree,no,no,no,cellular,aug,thu,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
40,services,married,basic.6y,no,yes,no,cellular,jul,mon,137,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
24,admin.,single,high.school,no,yes,no,cellular,jul,mon,595,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
32,admin.,single,university.degree,no,no,yes,cellular,jul,thu,1027,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
44,admin.,married,basic.4y,unknown,yes,no,cellular,aug,tue,222,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
50,blue-collar,married,unknown,unknown,no,no,cellular,jul,thu,291,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
46,admin.,married,university.degree,unknown,no,yes,cellular,jul,fri,71,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
31,management,married,university.degree,no,no,yes,cellular,aug,wed,92,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
59,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,86,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
32,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,thu,624,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
43,blue-collar,married,basic.9y,no,no,no,telephone,jul,tue,778,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
45,services,married,high.school,unknown,no,no,cellular,jul,tue,210,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
40,blue-collar,married,professional.course,no,yes,no,cellular,jul,mon,108,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
47,self-employed,married,university.degree,no,no,yes,cellular,jul,mon,83,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
48,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,wed,709,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
44,blue-collar,married,unknown,unknown,no,no,cellular,jul,fri,18,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
41,self-employed,married,basic.9y,unknown,no,no,cellular,jul,fri,788,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
49,blue-collar,married,basic.9y,unknown,no,yes,cellular,aug,wed,92,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
46,blue-collar,married,unknown,no,no,yes,cellular,jul,thu,36,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
34,admin.,single,university.degree,no,no,no,cellular,aug,tue,121,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
38,technician,married,professional.course,no,no,no,cellular,jul,mon,110,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
26,technician,single,high.school,no,yes,yes,cellular,jul,mon,894,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
48,technician,divorced,professional.course,no,no,no,cellular,aug,tue,69,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
53,admin.,divorced,high.school,no,yes,no,telephone,jul,mon,75,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38,technician,single,professional.course,no,no,no,cellular,jul,tue,815,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
51,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,147,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
38,services,single,basic.9y,no,yes,no,cellular,jul,mon,149,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
60,retired,married,basic.9y,unknown,no,no,cellular,aug,wed,707,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
43,technician,single,university.degree,no,yes,no,cellular,jul,thu,201,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
29,admin.,single,university.degree,unknown,yes,no,cellular,jul,fri,837,8,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
28,admin.,married,high.school,no,unknown,unknown,cellular,jul,tue,502,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
28,admin.,single,university.degree,no,no,no,cellular,jul,thu,727,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
55,self-employed,married,university.degree,unknown,no,no,cellular,jul,thu,255,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
27,admin.,single,high.school,no,yes,no,cellular,jul,thu,340,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
55,retired,married,basic.4y,unknown,yes,yes,cellular,jul,fri,258,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
45,admin.,married,unknown,unknown,yes,no,telephone,jul,thu,27,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
44,admin.,married,high.school,no,no,no,cellular,jul,mon,101,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
35,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,120,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
28,admin.,married,high.school,no,no,no,cellular,jul,wed,419,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
36,student,divorced,university.degree,no,no,yes,cellular,jul,thu,125,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
43,admin.,married,university.degree,no,yes,yes,cellular,aug,thu,297,7,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
32,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,317,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
29,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,425,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
33,admin.,married,university.degree,no,no,no,cellular,aug,mon,135,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
46,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,152,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
36,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,210,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
42,technician,married,professional.course,no,yes,no,cellular,aug,wed,685,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
47,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,82,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,services,single,high.school,no,no,no,cellular,jul,wed,1426,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
31,admin.,married,university.degree,unknown,no,no,cellular,aug,mon,70,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
40,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,214,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
33,technician,single,high.school,no,yes,yes,cellular,aug,mon,102,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
58,retired,married,basic.4y,no,no,no,cellular,aug,tue,509,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
49,retired,divorced,professional.course,no,yes,yes,telephone,aug,tue,128,8,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
24,services,single,high.school,no,no,no,cellular,jul,thu,20,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
31,blue-collar,single,basic.4y,unknown,yes,no,cellular,jul,mon,153,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
30,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,262,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
34,admin.,single,university.degree,no,no,no,cellular,jul,tue,182,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
25,admin.,single,basic.9y,no,no,no,cellular,jul,thu,81,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
33,technician,married,university.degree,no,no,no,cellular,aug,thu,75,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
34,unemployed,married,high.school,no,unknown,unknown,cellular,jul,thu,94,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
53,management,married,university.degree,no,no,no,cellular,aug,tue,864,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,1412,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
30,management,married,university.degree,no,yes,no,telephone,jul,wed,90,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
51,housemaid,married,basic.9y,no,no,no,cellular,jul,tue,209,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
59,housemaid,divorced,unknown,unknown,no,no,cellular,jul,mon,103,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
47,services,married,high.school,no,no,no,cellular,aug,fri,130,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
28,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,225,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
50,technician,single,university.degree,no,no,no,cellular,jul,tue,179,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
54,blue-collar,single,unknown,no,yes,no,cellular,jul,mon,122,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
43,admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,209,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,admin.,single,university.degree,no,yes,no,cellular,aug,wed,86,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
39,admin.,married,high.school,unknown,no,yes,cellular,jul,thu,134,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
32,technician,single,high.school,no,yes,no,cellular,jul,wed,229,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
54,admin.,married,university.degree,no,yes,no,cellular,aug,tue,243,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
36,services,single,high.school,no,no,no,cellular,jul,fri,254,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
52,housemaid,married,basic.6y,unknown,no,no,cellular,aug,wed,217,11,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
35,services,married,high.school,no,yes,no,cellular,jul,wed,436,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
45,admin.,married,high.school,unknown,no,yes,cellular,jul,mon,301,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
32,services,married,university.degree,no,no,no,telephone,jul,mon,691,10,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
56,admin.,married,university.degree,no,no,no,cellular,aug,mon,165,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,75,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
26,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,mon,82,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
54,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,261,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
39,blue-collar,single,high.school,unknown,yes,no,cellular,jul,tue,132,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
26,admin.,single,high.school,no,no,no,cellular,jul,thu,241,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
43,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,57,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
40,admin.,married,university.degree,unknown,yes,no,cellular,jul,wed,424,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
29,technician,single,professional.course,no,no,no,cellular,aug,mon,157,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
33,technician,married,high.school,unknown,no,no,cellular,aug,fri,442,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
41,technician,married,university.degree,no,yes,no,cellular,aug,mon,53,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
48,entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,413,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
59,retired,married,university.degree,unknown,no,no,cellular,jul,wed,767,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
32,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,165,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
39,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,165,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
49,admin.,married,high.school,no,yes,no,cellular,aug,fri,183,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
28,blue-collar,married,high.school,no,yes,no,cellular,jul,mon,392,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
58,retired,married,university.degree,unknown,yes,yes,cellular,aug,wed,269,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
42,self-employed,married,university.degree,no,unknown,unknown,cellular,jul,mon,624,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
51,technician,married,professional.course,no,yes,yes,cellular,jul,thu,137,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
33,services,married,high.school,no,no,no,cellular,jul,tue,85,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
37,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,346,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
30,management,married,university.degree,no,yes,yes,cellular,jul,wed,229,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
39,technician,married,high.school,no,no,no,cellular,jul,thu,232,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
43,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,1332,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
57,admin.,divorced,university.degree,unknown,yes,no,telephone,jul,tue,375,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
34,admin.,single,university.degree,no,yes,no,cellular,aug,mon,72,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,203,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
33,technician,married,professional.course,no,yes,no,cellular,aug,tue,64,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
45,blue-collar,married,basic.6y,no,no,yes,cellular,aug,wed,48,8,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
45,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,wed,163,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
27,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,316,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
34,management,divorced,university.degree,no,yes,no,cellular,jul,tue,580,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
46,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,397,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
25,blue-collar,married,basic.4y,no,no,yes,cellular,jul,thu,521,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
30,admin.,single,university.degree,no,yes,no,cellular,jul,thu,39,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
32,blue-collar,single,basic.4y,no,yes,no,cellular,jul,fri,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
29,technician,single,professional.course,no,yes,no,cellular,jul,thu,150,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
25,technician,single,high.school,no,no,no,cellular,jul,fri,96,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
32,admin.,single,university.degree,no,no,no,cellular,jul,thu,152,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
46,admin.,single,university.degree,no,yes,yes,cellular,jul,tue,62,7,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
32,admin.,single,high.school,no,yes,no,cellular,jul,wed,156,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
52,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,126,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,217,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
37,management,single,university.degree,no,yes,no,cellular,jul,tue,188,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
29,technician,single,professional.course,no,yes,no,cellular,aug,mon,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,technician,single,university.degree,unknown,no,no,cellular,aug,thu,132,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
46,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,thu,155,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
35,technician,single,professional.course,no,no,no,cellular,jul,tue,270,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
26,admin.,married,high.school,no,no,no,cellular,jul,thu,269,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
25,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,8,21,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
44,blue-collar,single,basic.9y,no,yes,no,telephone,jul,tue,1127,11,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
24,services,single,high.school,no,yes,no,cellular,jul,wed,57,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
